Research_File,Company_Name,Source_List,Deduplication_Status,Notes
aaru.md,Aaru,new_trending_2025_2026,Unique,
arcads.md,Arcads,original_129,Unique,
beautycam.md,BeautyCam,original_129,Unique,
beautyplus.md,BeautyPlus,original_129,Unique,
bolt_new.md,Bolt.new,new_trending_2025_2026,Unique,
brainly.md,Brainly,original_129,Unique,
candy_ai.md,candy.ai,original_129,Unique,
canva.md,Canva,original_129,Unique,
chai_discovery.md,Chai Discovery,new_trending_2025_2026,Unique,
character_ai.md,Character.ai,original_129,Unique,
cici.md,Cici,original_129,Unique,
cluely.md,Cluely,original_129,Unique,
combinely.md,Combinely,original_129,Unique,
crosby.md,Crosby,original_129,Unique,
crushon_ai.md,Crushon AI,original_129,Unique,
cursor.md,Cursor,original_129,Unique,
customer_io.md,Customer.io,original_129,Unique,
cutout_pro.md,Cutout.pro,original_129,Unique,
deepai.md,DeepAI,original_129,Unique,
delve.md,Delve,original_129,Unique,
fabric_health.md,Fabric Health,deep_research_case_files,Unique,$80M funding - $300-500M valuation - 100M+ covered lives
doubao.md,Doubao,original_129,Unique,
elevenlabs.md,ElevenLabs,original_129,Unique,
emergent.md,Emergent,original_129,Unique,
epik.md,Epik,original_129,Unique,
faceapp.md,FaceApp,original_129,Unique,
facemoji.md,Facemoji,original_129,Unique,
fathom_ai.md,Fathom,new_trending_2025_2026,Unique,
filmora.md,Filmora,original_129,Unique,
fyxer_ai.md,Fyxer.ai,original_129,Unique,
gauth.md,Gauth,original_129,Unique,
goblin_tools.md,Goblin Tools,new_trending_2025_2026,Unique,
google_ai_studio.md,Google AI Studio,original_129,Unique,
google_gemini.md,Gemini (Google),original_129,Unique,
google_labs.md,Google Labs,original_129,Unique,
grok_xai.md,Grok (xAI),original_129,Unique,
happyscribe.md,Happyscribe,original_129,Unique,
harmonic.md,Harmonic,new_trending_2025_2026,Unique,
harvey_ai.md,Harvey AI,deep_research_case_files,Unique,$8B valuation - $100M ARR - $866M funding
heygen.md,HeyGen,new_trending_2025_2026,Unique,
hippocratic_ai.md,Hippocratic AI,new_trending_2025_2026,Unique,
hitranslate.md,HiTranslate,original_129,Unique,
hypic.md,Hypic,original_129,Unique,
instagram_edits.md,Edits (Instagram),original_129,Unique,
janitorai.md,JanitorAI,original_129,Unique,
joi.md,Joi,original_129,Unique,
juicychat.md,JuicyChat,original_129,Unique,
klingai.md,KlingAI,original_129,Unique,
lemon_slice.md,Lemon Slice,new_trending_2025_2026,Unique,
leonardo_ai.md,Leonardo.ai,original_129,Unique,
lila_sciences.md,Lila Sciences,new_trending_2025_2026,Unique,
lmarena.md,LMArena,new_trending_2025_2026,Unique,
lorikeet.md,Lorikeet,original_129,Unique,
lovable.md,Lovable,original_129,Unique,
luma_ai.md,Luma AI,new_trending_2025_2026,Unique,
manus.md,Manus,original_129,Unique,
meitu.md,Meitu,original_129,Unique,
mercor.md,Mercor,new_trending_2025_2026,Unique,
merlin.md,Merlin,original_129,Unique,
microsoft_bing.md,Microsoft Bing,original_129,Unique,
microsoft_copilot.md,Microsoft Copilot,original_129,Unique,
microsoft_edge.md,Microsoft Edge,original_129,Unique,
midjourney.md,Midjourney,original_129,Unique,
mivi.md,Mivi,original_129,Unique,
monica.md,Monica,original_129,Unique,
notion.md,Notion,original_129,Unique,
nova.md,Nova,original_129,Unique,
openai_chatgpt.md,OpenAI/ChatGPT,original_129,Unique,
openevidence.md,OpenEvidence,new_trending_2025_2026,Unique,
ourdream.ai.md,ourdream.ai,original_129,Unique,
papago.md,Papago,original_129,Unique,
peachy.md,Peachy,original_129,Unique,
perplexity.md,Perplexity,original_129,Unique,
photomath.md,Photomath,original_129,Unique,
photoshop_express.md,Photoshop Express,original_129,Unique,
picturethis.md,PictureThis,original_129,Unique,
pika_labs.md,Pika Labs,new_trending_2025_2026,Unique,
pixelcut.md,Pixelcut,original_129,Unique,
pixverse.md,PixVerse,original_129,Unique,
plantnet.md,Pl@ntNet,original_129,Unique,
polish.md,Polish,original_129,Unique,
polybuzz.md,PolyBuzz,original_129,Unique,
qanda.md,Qanda,original_129,Unique,
quark.md,Quark,original_129,Unique,
qwen.md,Qwen,original_129,Unique,
reflection_ai.md,Reflection AI,new_trending_2025_2026,Unique,
remaker.md,Remaker,original_129,Unique,
remini.md,Remini,original_129,Unique,
runway.md,Runway,new_trending_2025_2026,Unique,
safe_superintelligence.md,Safe Superintelligence (SSI),new_trending_2025_2026,Unique,
scale_ai.md,Scale AI,new_trending_2025_2026,Unique,
seaart.md,SeaArt.ai,original_129,Unique,
serval.md,Serval,original_129,Unique,
sesame_ai.md,Sesame AI,new_trending_2025_2026,Unique,
snow_corp.md,SNOW Corp,original_129,Unique,
solve_intelligence.md,Solve Intelligence,original_129,Unique,
spicychat.md,Spicychat.ai,original_129,Unique,
suno.md,Suno,original_129,Unique,
swiftkey.md,SwiftKey,original_129,Unique,
synthesia.md,Synthesia,new_trending_2025_2026,Unique,
thinking_machines_lab.md,Thinking Machines Lab,new_trending_2025_2026,Unique,
turboscribe.md,TurboScribe,original_129,Unique,
unconventional_ai.md,Unconventional AI,new_trending_2025_2026,Unique,
upfoto.md,UpFoto,original_129,Unique,
v0_vercel.md,v0 (Vercel),new_trending_2025_2026,Unique,
vivacut.md,VivaCut,original_129,Unique,
windsurf_codeium.md,Windsurf (Codeium),new_trending_2025_2026,Unique,
wink.md,Wink,original_129,Unique,
youcut.md,YouCut,original_129,Unique,
zerogpt.md,ZeroGPT,original_129,Unique,
